id,year,gender,tid,mid,player1,player2,country1,country2,round,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
421,2013,m,4,669115,Evgeny Donskoy,Peter Gojowczyk,RUS,GER,2,55%,55%,9,15,2,8,76%,78%,50%,43%,0,0,0,0,0,0,29%,40%,37%,36%,155,151,9,15,2,8,,
422,2013,m,4,669107,Tim Smyczek,Alex Jr Bogomolov,USA,RUS,2,63%,69%,21,8,3,9,75%,67%,45%,52%,205,197,172,167,141,141,31%,43%,37%,36%,169,173,68,39,60,42,64%,73%
423,2013,m,4,669106,Novak Djokovic,Benjamin Becker,SRB,GER,2,74%,59%,13,6,2,4,81%,59%,52%,49%,193,215,175,189,149,149,36%,100%,45%,26%,102,73,40,19,26,36,68%,60%
424,2013,m,4,669104,Marcos Baghdatis,Kevin Anderson,CYP,RSA,2,43%,64%,10,7,6,4,89%,59%,67%,42%,205,212,193,191,176,176,50%,0,47%,24%,82,53,34,17,13,19,75%,29%
425,2013,m,4,669100,Florian Mayer,Donald Young,GER,USA,2,57%,62%,10,5,6,8,73%,57%,42%,44%,202,212,185,172,135,135,33%,23%,48%,41%,126,109,33,37,41,54,69%,57%
426,2013,m,4,669101,Andy Murray,Leonardo Mayer,GBR,ARG,2,57%,63%,5,6,3,5,67%,66%,76%,44%,212,213,172,191,167,167,56%,11%,42%,29%,117,87,28,39,26,49,65%,58%
427,2013,m,4,669102,Stanislas Wawrinka,Ivo Karlovic,SUI,CRO,2,60%,63%,9,12,5,6,84%,76%,63%,53%,220,218,188,202,172,172,43%,50%,32%,25%,111,98,45,35,20,25,69%,63%
428,2013,m,4,669103,Denis Istomin,Tobias Kamke,UZB,GER,2,46%,46%,6,3,3,5,80%,53%,60%,53%,0,0,0,0,0,0,54%,100%,47%,31%,82,62,6,3,3,5,,
429,2013,m,4,669148,Roger Federer,Adrian Mannarino,SUI,FRA,3,57%,65%,8,1,4,0,92%,55%,50%,35%,204,204,178,183,146,146,43%,0%,52%,26%,90,54,34,8,20,14,79%,50%
430,2013,m,4,669149,Tommy Robredo,Daniel Evans,ESP,GBR,3,60%,62%,11,8,5,8,77%,68%,50%,39%,204,209,176,168,141,141,50%,36%,43%,34%,150,130,43,49,31,58,59%,62%
431,2013,m,4,669150,David Ferrer,Mikhail Kukushkin,ESP,KAZ,3,60%,51%,7,4,2,3,77%,68%,49%,38%,197,201,178,178,127,127,31%,75%,47%,34%,136,112,31,31,37,66,79%,56%
432,2013,m,4,669151,Richard Gasquet,Dmitry Tursunov,FRA,RUS,3,64%,53%,14,25,4,4,71%,73%,64%,43%,202,218,178,201,146,146,36%,43%,41%,32%,112,99,34,46,21,47,56%,57%
433,2013,m,4,669152,Rafael Nadal,Ivan Dodig,ESP,CRO,3,65%,52%,3,6,2,1,80%,72%,74%,50%,197,212,172,185,149,149,57%,0%,39%,22%,90,63,37,19,26,28,82%,48%
434,2013,m,4,669153,Philipp Kohlschreiber,John Isner,GER,USA,3,73%,74%,6,26,1,5,77%,84%,57%,47%,207,226,167,199,168,168,75%,29%,26%,28%,123,123,38,65,17,40,83%,58%
435,2013,m,4,669154,Janko Tipsarevic,Jack Sock,SRB,USA,3,56%,46%,18,19,2,8,77%,76%,70%,51%,202,223,186,188,159,159,50%,33%,37%,26%,116,90,35,39,24,48,74%,71%
436,2013,m,4,669167,Milos Raonic,Feliciano Lopez,CAN,ESP,3,67%,59%,28,7,6,8,87%,71%,51%,53%,230,215,197,186,159,159,50%,0%,37%,25%,134,113,49,32,42,34,61%,63%
437,2013,m,4,669283,Andy Murray,Florian Mayer,GBR,GER,3,51%,62%,7,0,2,2,90%,70%,63%,43%,215,196,181,178,136,136,40%,0%,40%,23%,99,74,42,17,21,26,67%,54%
438,2013,m,4,669284,Denis Istomin,Andreas Seppi,UZB,ITA,3,65%,61%,24,10,6,5,69%,71%,46%,46%,210,199,189,181,139,139,75%,26%,39%,39%,138,134,54,38,57,43,63%,58%
439,2013,m,4,669285,Novak Djokovic,Joao Sousa,SRB,POR,3,68%,59%,3,2,2,3,79%,56%,67%,26%,199,197,175,175,139,139,62%,50%,57%,25%,94,54,34,10,26,27,73%,48%
440,2013,m,4,669217,Tomas Berdych,Julien Benneteau,CZE,FRA,3,58%,52%,11,5,1,6,85%,63%,42%,32%,215,202,196,183,148,148,43%,0%,52%,33%,93,63,36,23,14,28,76%,65%
441,2013,m,4,669282,Marcel Granollers,Tim Smyczek,ESP,USA,3,59%,61%,10,10,3,3,74%,72%,45%,47%,213,209,181,181,135,135,50%,44%,37%,38%,147,146,32,73,29,64,58%,71%
442,2013,m,4,669281,Mikhail Youzhny,Tommy Haas,RUS,GER,3,57%,50%,9,5,6,1,75%,71%,49%,42%,194,197,165,181,149,149,58%,44%,43%,36%,109,95,30,31,24,58,57%,61%
443,2013,m,4,669280,Lleyton Hewitt,Evgeny Donskoy,AUS,RUS,3,52%,58%,11,13,2,2,75%,83%,62%,35%,196,201,173,176,139,139,57%,14%,37%,31%,128,111,34,41,36,47,77%,43%
444,2013,m,4,669218,Stanislas Wawrinka,Marcos Baghdatis,SUI,CYP,3,52%,47%,11,16,5,8,81%,69%,59%,54%,223,215,180,186,139,139,33%,22%,39%,30%,151,132,53,47,50,48,83%,68%
445,2013,m,4,670170,Tommy Robredo,Roger Federer,ESP,SUI,4,70%,60%,6,5,4,0,69%,73%,46%,47%,207,201,170,178,143,143,57%,13%,37%,38%,110,101,31,45,26,43,65%,62%
446,2013,m,4,670171,David Ferrer,Janko Tipsarevic,ESP,SRB,4,65%,59%,13,8,4,5,73%,66%,47%,47%,193,207,178,188,138,138,31%,36%,42%,36%,164,153,46,39,53,58,79%,60%
447,2013,m,4,670188,Richard Gasquet,Milos Raonic,FRA,CAN,4,59%,56%,6,39,9,11,68%,75%,54%,52%,201,230,176,204,157,157,24%,27%,35%,38%,195,207,45,102,36,80,70%,68%
448,2013,m,4,670189,Rafael Nadal,Philipp Kohlschreiber,ESP,GER,4,66%,63%,3,12,0,1,76%,66%,70%,50%,199,205,172,181,143,143,24%,0%,40%,26%,136,112,48,49,29,47,74%,65%
449,2013,m,4,670474,Novak Djokovic,Marcel Granollers,SRB,ESP,4,72%,48%,2,2,0,2,84%,48%,87%,33%,194,207,175,178,146,146,50%,0%,59%,15%,86,36,34,8,15,20,93%,32%
450,2013,m,4,670186,Mikhail Youzhny,Lleyton Hewitt,RUS,AUS,4,59%,52%,9,8,6,9,65%,63%,48%,53%,196,196,170,165,128,128,71%,67%,42%,42%,145,146,47,55,63,54,70%,58%
451,2013,m,4,670473,Stanislas Wawrinka,Tomas Berdych,SUI,CZE,4,58%,58%,14,3,6,3,77%,76%,53%,40%,218,213,175,188,144,144,55%,50%,39%,33%,127,110,36,32,28,45,73%,69%
452,2013,m,4,670481,Andy Murray,Denis Istomin,GBR,UZB,4,63%,69%,5,4,5,2,77%,65%,51%,53%,212,212,173,186,146,146,40%,50%,39%,33%,129,114,38,33,35,36,84%,51%
453,2013,m,4,670854,Richard Gasquet,David Ferrer,FRA,ESP,5,59%,63%,6,5,3,3,68%,62%,53%,58%,205,191,176,175,146,146,43%,27%,40%,38%,142,137,52,40,49,45,67%,72%
