intention,query,u_id
Knowledge Seeking,"wrapper classes
",A0001
Others,"cast
",A0001
Others,"cast java
",A0001
Others,"implements keyword java
",A0001
Others,"how to handle button events
",A0001
Others,"button events using try catch block
",A0001
Others,"java button events using try catch block
",A0001
Method Learning,"point listeners java
",A0001
Knowledge Seeking,"common gui components from javax.swing & java.awt packages
",A0001
Others,"javax.swing basic components
",A0001
Others,"error handling java
",A0001
Knowledge Seeking,"stacks java
",A0001
Knowledge Seeking,"infix to postfix
",A0001
Others,"infix to postfix java
",A0001
Knowledge Seeking,"dynamic array
",A0005
Others,"dynamic array java
",A0005
Knowledge Seeking,"passing arrays as paramaters
",A0005
Others,"passing arrays as parameters java
",A0005
Knowledge Seeking,"UML
",A0005
Method Learning,"constructor java
",A0005
Knowledge Seeking,"constructor java
",A0005
Others,"what is a constructor
",A0005
Others,"what is a constructor java
",A0005
Method Learning,"
 java
",A0005
Knowledge Seeking,"

 java
",A0005
Knowledge Seeking,"abstract class java
",A0005
Knowledge Seeking,"implements vs extends java
",A0005
Knowledge Seeking,"how many components can you add to a frame using the add method
",A0005
Knowledge Seeking,"linetoparse java
",A0005
Others,"lineToParse
",A0005
Others,"type cast
",A0005
Others,"type cast java
",A0005
Method Learning,"java cast string to int
",A0005
Knowledge Seeking,"format double java
",A0005
Knowledge Seeking,"String.format java
",A0005
Knowledge Seeking,".##
",A0005
Others,".string.format java
",A0005
Knowledge Seeking,"java filled rectangle
",A0005
Knowledge Seeking,"java radio button
",A0005
Problem Solving,"merge sort java
",A0005
Knowledge Seeking,"arraylist java
",A0005
Knowledge Seeking,"gui with radio buttons java
",A0005
Problem Solving,"applet not initialized java
",A0005
Knowledge Seeking,"adding panels to japplet java
",A0005
Others,"jpanel japplet java
",A0005
Knowledge Seeking,"container java
",A0005
Knowledge Seeking,"serialization
",A0005
Knowledge Seeking,"comparing objects
",A0005
Knowledge Seeking,"lexicograph java
",A0005
Method Learning,"how to get main method
",A0008
Knowledge Seeking,"new scanner (system.in)
",A0008
Others,"nextInt()
",A0008
Others,"do loop
",A0008
Others,"while-do loop
",A0008
Knowledge Seeking,"what meaning of /n
",A0008
Knowledge Seeking,"nextString
",A0008
Method Learning,"how to converse case
",A0008
Others,"how to converse downcase to upcase
",A0008
Others,"how to converse down case to up case
",A0008
Others,"how to use euqals to ignoring case
",A0008
Knowledge Seeking,"number format persentage
",A0008
Others,"use number format to get persentage
",A0008
Knowledge Seeking,"simple
",A0008
Others,"sample
",A0008
Method Learning,"JRadioButton
",A0008
Method Learning,"how to transfer int to color
",A0008
Others,"how to transfer int to Color
",A0008
Method Learning,"Color[]
",A0008
Method Learning,"what method can decide character to operand 
",A0008
Others,"askto method
",A0008
Others,"ask to method
",A0008
Knowledge Seeking,"find the minimum integer
",A0009
Knowledge Seeking,"how to define '#'
",A0009
Others,"how to define '#'
",A0009
Knowledge Seeking,"public static Product parseStringToProduct(String lineToParse)
",A0009
Knowledge Seeking,"public static Product parseStringToProduct(String lineToParse)
",A0009
Others,"public static Product parseStringToProduct
",A0009
Others,"Product parseStringToProduct
",A0009
Knowledge Seeking,"protect
",A0009
Knowledge Seeking,"Container container = getContentPane()
",A0009
Knowledge Seeking,"private Container getContentPane() {
",A0009
Knowledge Seeking,"3 partition merge sort
",A0009
Others," merge sort
",A0009
Knowledge Seeking,"clear();
",A0009
Others,"clear(); java
",A0009
Problem Solving,"how to find evenIndex number in an array
",A0009
Knowledge Seeking,"how to find evenIndex number in an array
",A0009
Others,"how to find even Index 
",A0009
Problem Solving,"counthowmany object
",A0009
Others,"counthowmany
",A0009
Others,"countHowMany(Object searchedObject)countHowMany(Object searchedObject)
",A0009
Others,"countHowMany(Object searchedObject)
",A0009
Others,"countHowMany(Object)
",A0009
Others,"removeDuplicate() method
",A0009
Knowledge Seeking,"definition of a method in java
",A0010
Knowledge Seeking,"how to make a class
",A0010
Others,"how to make a class java
",A0010
Knowledge Seeking,"mutator method java
",A0010
Knowledge Seeking,"invalid method declaration; return type required
",A0010
