u_id,intention,intentionCount
A0001,Knowledge Seeking,4
A0001,Method Learning,1
A0001,Others,9
A0005,Knowledge Seeking,21
A0005,Method Learning,3
A0005,Others,9
A0005,Problem Solving,2
A0008,Knowledge Seeking,5
A0008,Method Learning,6
A0008,Others,11
A0009,Knowledge Seeking,10
A0009,Others,11
A0009,Problem Solving,2
A0010,Knowledge Seeking,6
A0010,Others,2
A0010,Problem Solving,1
A0011,Knowledge Seeking,13
A0011,Others,28
A0011,Problem Solving,4
A0015,Knowledge Seeking,1
A0018,Method Learning,1
A0018,Others,1
A0018,Problem Solving,3
A0019,Knowledge Seeking,10
A0019,Others,3
A0019,Problem Solving,3
A0020,Knowledge Seeking,2
A0020,Others,15
A0020,Problem Solving,3
A0021,Knowledge Seeking,8
A0021,Method Learning,1
A0021,Others,4
A0021,Problem Solving,2
A0022,Knowledge Seeking,7
A0022,Others,1
A0022,Problem Solving,2
A0024,Knowledge Seeking,2
A0024,Method Learning,6
A0024,Others,6
A0025,Knowledge Seeking,4
A0025,Method Learning,2
A0025,Others,11
A0025,Problem Solving,1
A0026,Method Learning,1
A0026,Others,5
A0026,Problem Solving,1
A0029,Knowledge Seeking,1
A0029,Method Learning,6
A0029,Others,1
A0029,Problem Solving,6
A0030,Problem Solving,1
A0033,Knowledge Seeking,2
A0033,Method Learning,2
A0034,Knowledge Seeking,2
A0034,Others,1
A0037,Knowledge Seeking,2
A0037,Method Learning,1
A0039,Knowledge Seeking,2
A0039,Others,21
A0039,Problem Solving,12
A0040,Knowledge Seeking,3
A0040,Method Learning,1
A0041,Knowledge Seeking,9
A0041,Others,9
A0041,Problem Solving,1
A0042,Knowledge Seeking,4
A0042,Others,3
A0042,Problem Solving,1
A0043,Knowledge Seeking,1
A0044,Knowledge Seeking,3
A0044,Method Learning,1
A0044,Problem Solving,1
A0046,Knowledge Seeking,9
A0046,Method Learning,11
A0046,Others,8
A0046,Problem Solving,2
A0047,Knowledge Seeking,2
A0047,Others,2
A0047,Problem Solving,3
A0048,Knowledge Seeking,2
A0048,Others,2
A0048,Problem Solving,4
A0049,Knowledge Seeking,7
A0049,Problem Solving,4
A0050,Knowledge Seeking,7
A0050,Others,9
A0052,Knowledge Seeking,6
A0052,Others,3
A0054,Knowledge Seeking,2
A0054,Method Learning,1
A0054,Problem Solving,1
A0056,Knowledge Seeking,8
A0056,Method Learning,1
A0056,Others,3
A0057,Knowledge Seeking,2
A0059,Knowledge Seeking,1
A0061,Knowledge Seeking,5
A0061,Method Learning,5
A0061,Others,6
A0061,Problem Solving,3
A0064,Knowledge Seeking,1
A0064,Others,3
A0064,Problem Solving,5
A0065,Method Learning,1
A0066,Knowledge Seeking,2
A0066,Method Learning,3
A0066,Others,2
A0066,Problem Solving,2
A0067,Knowledge Seeking,3
A0067,Method Learning,5
A0067,Others,5
A0067,Problem Solving,2
A0069,Others,3
A0069,Problem Solving,1
A0071,Others,6
A0071,Problem Solving,1
A0073,Knowledge Seeking,6
A0073,Method Learning,2
A0073,Others,1
A0073,Problem Solving,2
A0074,Knowledge Seeking,57
A0074,Others,2
A0075,Knowledge Seeking,1
A0075,Problem Solving,2
A0077,Knowledge Seeking,1
A0077,Method Learning,3
A0077,Others,1
A0080,Knowledge Seeking,7
A0080,Others,14
A0080,Problem Solving,1
A0081,Knowledge Seeking,3
A0081,Method Learning,1
A0081,Problem Solving,4
A0082,Knowledge Seeking,2
A0082,Problem Solving,1
A0084,Knowledge Seeking,5
A0084,Method Learning,3
A0084,Others,5
A0087,Knowledge Seeking,1
A0088,Method Learning,7
A0088,Others,2
B0005,Knowledge Seeking,1
B0005,Others,3
B0007,Knowledge Seeking,8
B0007,Method Learning,10
B0007,Others,4
B0007,Problem Solving,4
B0009,Problem Solving,1
B0012,Knowledge Seeking,1
B0012,Problem Solving,2
B0013,Method Learning,1
B0013,Others,1
B0018,Knowledge Seeking,6
B0018,Method Learning,1
B0018,Others,2
B0020,Knowledge Seeking,1
B0020,Method Learning,1
B0020,Others,7
B0025,Knowledge Seeking,1
B0025,Method Learning,3
B0025,Others,1
B0026,Knowledge Seeking,2
B0026,Others,7
B0026,Problem Solving,5
B0027,Knowledge Seeking,3
B0027,Method Learning,1
