u_id,timestamp_actual,operation,operationCount
A0001,2015-09-24 18:40:00.000,scroll_down,33
A0001,2015-09-24 18:40:00.000,scroll_up,24
A0001,2015-09-24 18:40:00.000,target_clicked,1
A0001,2015-09-24 21:26:40.000,scroll_down,25
A0001,2015-09-24 21:26:40.000,scroll_up,38
A0001,2015-09-24 21:26:40.000,select,2
A0001,2015-09-24 21:26:40.000,target_clicked,11
A0001,2015-10-07 01:06:40.000,scroll_down,92
A0001,2015-10-07 01:06:40.000,scroll_up,103
A0001,2015-10-07 01:06:40.000,target_clicked,6
A0001,2015-10-16 18:26:40.000,scroll_down,13
A0001,2015-10-16 18:26:40.000,scroll_up,18
A0001,2015-10-16 18:26:40.000,target_clicked,3
A0001,2015-10-22 18:53:20.000,scroll_down,30
A0001,2015-10-22 18:53:20.000,scroll_up,39
A0001,2015-10-22 18:53:20.000,select,1
A0001,2015-10-22 18:53:20.000,target_clicked,7
A0001,2015-10-22 21:40:00.000,scroll_down,15
A0001,2015-10-22 21:40:00.000,scroll_up,5
A0001,2015-10-22 21:40:00.000,select,5
A0001,2015-10-22 21:40:00.000,target_clicked,6
A0001,2015-11-20 17:20:00.000,scroll_down,9
A0001,2015-11-20 17:20:00.000,target_clicked,1
A0001,2015-11-21 01:40:00.000,scroll_down,222
A0001,2015-11-21 01:40:00.000,scroll_up,181
A0001,2015-11-21 01:40:00.000,target_clicked,7
A0005,2015-08-26 03:33:20.000,scroll_down,88
A0005,2015-08-26 03:33:20.000,scroll_up,25
A0005,2015-08-26 03:33:20.000,target_clicked,7
A0005,2015-09-03 22:40:00.000,target_clicked,9
A0005,2015-09-04 15:20:00.000,target_clicked,2
A0005,2015-09-10 01:53:20.000,target_clicked,1
A0005,2015-09-12 23:20:00.000,target_clicked,2
A0005,2015-09-18 04:20:00.000,scroll_down,63
A0005,2015-09-18 04:20:00.000,scroll_up,30
A0005,2015-09-18 04:20:00.000,select,12
A0005,2015-09-18 04:20:00.000,target_clicked,20
A0005,2015-09-18 18:13:20.000,select,1
A0005,2015-09-18 18:13:20.000,target_clicked,9
A0005,2015-10-10 04:06:40.000,scroll_down,629
A0005,2015-10-10 04:06:40.000,scroll_up,89
A0005,2015-10-10 04:06:40.000,target_clicked,1
A0005,2015-10-11 02:20:00.000,scroll_down,591
A0005,2015-10-11 02:20:00.000,scroll_up,114
A0005,2015-10-11 02:20:00.000,target_clicked,1
A0005,2015-10-15 23:00:00.000,scroll_down,299
A0005,2015-10-15 23:00:00.000,scroll_up,79
A0005,2015-10-15 23:00:00.000,target_clicked,1
A0005,2015-10-16 04:33:20.000,scroll_down,2992
A0005,2015-10-16 04:33:20.000,scroll_up,755
A0005,2015-10-16 04:33:20.000,target_clicked,10
A0005,2015-10-27 18:20:00.000,scroll_down,59
A0005,2015-10-27 18:20:00.000,scroll_up,1
A0005,2015-10-27 18:20:00.000,target_clicked,3
A0005,2015-10-27 21:06:40.000,scroll_down,104
A0005,2015-10-27 21:06:40.000,target_clicked,1
A0008,2015-08-28 00:00:00.000,scroll_down,10
A0008,2015-08-28 00:00:00.000,scroll_up,5
A0008,2015-08-28 00:00:00.000,target_clicked,1
A0008,2015-08-28 05:33:20.000,scroll_down,55
A0008,2015-08-28 05:33:20.000,scroll_up,32
A0008,2015-08-28 05:33:20.000,target_clicked,7
A0008,2015-09-03 08:46:40.000,scroll_down,32
A0008,2015-09-03 08:46:40.000,scroll_up,15
A0008,2015-09-03 08:46:40.000,target_clicked,1
A0008,2015-09-10 21:20:00.000,scroll_down,13
A0008,2015-09-10 21:20:00.000,scroll_up,17
A0008,2015-09-11 02:53:20.000,scroll_down,154
A0008,2015-09-11 02:53:20.000,scroll_up,106
A0008,2015-09-11 02:53:20.000,select,2
A0008,2015-09-11 02:53:20.000,target_clicked,10
A0008,2015-09-16 21:46:40.000,scroll_down,1
A0008,2015-09-18 09:53:20.000,scroll_down,13
A0008,2015-09-18 09:53:20.000,scroll_up,7
A0008,2015-09-18 18:13:20.000,scroll_down,22
A0008,2015-09-18 18:13:20.000,select,1
A0008,2015-09-18 18:13:20.000,target_clicked,4
A0008,2015-09-18 21:00:00.000,scroll_down,20
A0008,2015-09-18 21:00:00.000,scroll_up,13
A0008,2015-09-18 21:00:00.000,select,5
A0008,2015-09-18 21:00:00.000,target_clicked,12
A0008,2015-09-19 02:33:20.000,scroll_down,6
A0008,2015-09-19 02:33:20.000,scroll_up,4
A0008,2015-09-19 02:33:20.000,select,1
A0008,2015-09-19 02:33:20.000,target_clicked,3
A0008,2015-09-24 07:33:20.000,scroll_down,35
A0008,2015-09-24 07:33:20.000,scroll_up,19
A0008,2015-10-14 19:13:20.000,scroll_down,16
A0008,2015-10-14 19:13:20.000,scroll_up,25
A0008,2015-10-15 06:20:00.000,scroll_down,6
A0008,2015-10-15 06:20:00.000,scroll_up,9
A0008,2015-10-15 23:00:00.000,scroll_down,39
A0008,2015-10-15 23:00:00.000,scroll_up,21
A0008,2015-10-15 23:00:00.000,select,4
A0008,2015-10-15 23:00:00.000,target_clicked,14
A0008,2015-10-16 01:46:40.000,scroll_down,16
A0008,2015-10-16 01:46:40.000,scroll_up,14
A0008,2015-10-16 18:26:40.000,scroll_down,69
A0008,2015-10-16 18:26:40.000,scroll_up,34
A0008,2015-10-16 18:26:40.000,select,1
A0008,2015-10-16 18:26:40.000,target_clicked,6
A0008,2015-10-16 21:13:20.000,scroll_up,5
A0008,2015-10-21 23:26:40.000,scroll_down,16
A0008,2015-10-21 23:26:40.000,scroll_up,5
A0008,2015-10-22 18:53:20.000,scroll_down,4
A0008,2015-10-22 18:53:20.000,scroll_up,14
A0008,2015-10-29 06:26:40.000,scroll_down,12
A0008,2015-10-29 06:26:40.000,scroll_up,13
A0008,2015-10-29 06:26:40.000,select,2
A0008,2015-10-29 06:26:40.000,target_clicked,4
A0008,2015-10-29 09:13:20.000,scroll_down,86
A0008,2015-10-29 09:13:20.000,scroll_up,81
A0008,2015-11-03 03:06:40.000,scroll_down,14
A0008,2015-11-03 03:06:40.000,scroll_up,21
A0008,2015-11-06 06:06:40.000,scroll_down,10
A0008,2015-11-06 06:06:40.000,scroll_up,4
A0008,2015-11-06 06:06:40.000,select,2
A0008,2015-11-06 06:06:40.000,target_clicked,4
A0008,2015-11-20 09:00:00.000,scroll_down,1705
A0008,2015-11-20 09:00:00.000,scroll_up,1110
A0008,2015-11-20 09:00:00.000,target_clicked,6
A0008,2015-11-20 11:46:40.000,scroll_down,1
A0008,2015-11-20 11:46:40.000,scroll_up,25
A0008,2015-11-20 20:06:40.000,scroll_down,38
A0008,2015-11-20 20:06:40.000,scroll_up,54
A0009,2015-08-27 04:33:20.000,scroll_down,609
A0009,2015-08-27 04:33:20.000,scroll_up,79
A0009,2015-08-27 04:33:20.000,target_clicked,1
A0009,2015-08-28 00:00:00.000,scroll_down,461
A0009,2015-08-28 00:00:00.000,scroll_up,188
A0009,2015-09-10 21:20:00.000,scroll_down,577
A0009,2015-09-10 21:20:00.000,scroll_up,125
A0009,2015-09-10 21:20:00.000,target_clicked,3
A0009,2015-09-15 20:46:40.000,scroll_down,3062
A0009,2015-09-15 20:46:40.000,scroll_up,142
A0009,2015-09-15 20:46:40.000,select,1
A0009,2015-09-15 20:46:40.000,target_clicked,9
A0009,2015-09-15 23:33:20.000,scroll_down,2143
A0009,2015-09-15 23:33:20.000,scroll_up,67
A0009,2015-09-18 21:00:00.000,scroll_down,1800
A0009,2015-09-18 21:00:00.000,scroll_up,509
A0009,2015-09-23 03:46:40.000,scroll_down,224
A0009,2015-09-23 03:46:40.000,scroll_up,1
A0009,2015-10-02 21:06:40.000,scroll_down,1899
A0009,2015-10-02 21:06:40.000,scroll_up,519
A0009,2015-10-02 21:06:40.000,select,1
A0009,2015-10-02 21:06:40.000,target_clicked,3
A0009,2015-10-05 07:26:40.000,scroll_down,168
A0009,2015-10-05 07:26:40.000,scroll_up,200
A0009,2015-10-05 07:26:40.000,select,1
A0009,2015-10-05 07:26:40.000,target_clicked,1
A0009,2015-10-13 21:00:00.000,scroll_down,1509
A0009,2015-10-13 21:00:00.000,scroll_up,478
A0009,2015-10-13 21:00:00.000,select,5
A0009,2015-10-13 21:00:00.000,target_clicked,5
A0009,2015-10-14 05:20:00.000,scroll_down,578
A0009,2015-10-14 05:20:00.000,scroll_up,238
A0009,2015-10-14 05:20:00.000,select,1
A0009,2015-10-14 05:20:00.000,target_clicked,1
A0009,2015-10-14 22:00:00.000,scroll_down,1755
A0009,2015-10-14 22:00:00.000,scroll_up,870
A0009,2015-10-14 22:00:00.000,select,3
A0009,2015-10-14 22:00:00.000,target_clicked,3
A0009,2015-10-16 01:46:40.000,scroll_down,282
A0009,2015-10-16 01:46:40.000,scroll_up,178
A0009,2015-10-16 01:46:40.000,target_clicked,5
A0009,2015-10-17 00:00:00.000,scroll_down,1108
A0009,2015-10-17 00:00:00.000,scroll_up,193
A0009,2015-10-17 00:00:00.000,target_clicked,2
A0009,2015-10-21 01:13:20.000,scroll_down,312
A0009,2015-10-21 01:13:20.000,scroll_up,25
A0009,2015-10-22 02:13:20.000,scroll_down,289
A0009,2015-10-22 02:13:20.000,scroll_up,117
