timestamp_actual,operation,operationCount
2015-08-26 00:46:40.000,scroll_down,308
2015-08-26 00:46:40.000,target_clicked,7
2015-08-26 00:46:40.000,scroll_up,173
2015-08-26 03:33:20.000,target_clicked,7
2015-08-26 03:33:20.000,scroll_down,88
2015-08-26 03:33:20.000,scroll_up,25
2015-08-26 06:20:00.000,target_clicked,2
2015-08-26 06:20:00.000,scroll_down,223
2015-08-26 06:20:00.000,scroll_up,262
2015-08-26 14:40:00.000,scroll_up,230
2015-08-26 14:40:00.000,scroll_down,1302
2015-08-26 14:40:00.000,target_clicked,5
2015-08-26 17:26:40.000,scroll_up,205
2015-08-26 17:26:40.000,scroll_down,1769
2015-08-26 17:26:40.000,target_clicked,5
2015-08-26 20:13:20.000,scroll_down,72
2015-08-26 23:00:00.000,scroll_up,29
2015-08-26 23:00:00.000,target_clicked,7
2015-08-26 23:00:00.000,scroll_down,94
2015-08-27 01:46:40.000,target_clicked,3
2015-08-27 01:46:40.000,scroll_down,616
2015-08-27 01:46:40.000,scroll_up,112
2015-08-27 04:33:20.000,target_clicked,1
2015-08-27 04:33:20.000,scroll_up,79
2015-08-27 04:33:20.000,scroll_down,609
2015-08-27 18:26:40.000,scroll_down,16
2015-08-27 18:26:40.000,scroll_up,20
2015-08-27 21:13:20.000,scroll_down,155
2015-08-27 21:13:20.000,scroll_up,52
2015-08-28 00:00:00.000,target_clicked,23
2015-08-28 00:00:00.000,scroll_up,881
2015-08-28 00:00:00.000,select,2
2015-08-28 00:00:00.000,scroll_down,2932
2015-08-28 02:46:40.000,target_clicked,26
2015-08-28 02:46:40.000,scroll_down,3279
2015-08-28 02:46:40.000,select,7
2015-08-28 02:46:40.000,scroll_up,1187
2015-08-28 05:33:20.000,scroll_up,154
2015-08-28 05:33:20.000,target_clicked,7
2015-08-28 05:33:20.000,scroll_down,403
2015-08-28 08:20:00.000,scroll_down,33
2015-08-28 08:20:00.000,target_clicked,2
2015-08-28 08:20:00.000,scroll_up,15
